episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.4059999999999999,-0.9410000000000007,-0.07057894736842125,492.05263157894734,19,9349,False,6350421,89005,1391,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-23-58,1578029038,8.679515600204468,5109.0894412994385,26925,Francesco-PC,132.239.10.91,8.679515600204468,9349,1,0.29206641713866605,0.29334209139017325,0.8977489476319249,6261760,6350421,2749.675,80.491,5119.767,671.027,2.191941738128662,9.999999747378752e-05,0.010729183,-0.018016992,0.007381953,-0.25122407,0.009746709,0.6640391,0.0
0.484,-13.012,-0.41525000000000023,264.88461538461536,33,4425,False,6354846,89038,1392,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-01,1578029041,3.4229867458343506,5112.512428045273,26925,Francesco-PC,132.239.10.91,12.102502346038818,13774,2,0.2884407606989642,0.2907276004310226,0.8812519404812894,6266112,6354846,1966.034,41.444,3668.525,341.009,0.20000000298023224,9.999999747378752e-05,-0.03941626,-0.06480829,0.018416706,0.7154059,0.034876585,1.7177925,0.0
0.506,-42.006,-1.70865,86.45,67,4220,False,6359066,89105,1393,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-05,1578029045,3.312674045562744,5115.825102090836,26925,Francesco-PC,132.239.10.91,15.415176391601562,17994,3,0.2909525606213841,0.2924175823523124,0.8769399895252991,6270208,6359066,1715.539,28.337,3139.736,228.64,0.30000001192092896,9.999999747378752e-05,1.757312,-0.078677416,1.8264072,0.92539614,0.03194126,3.0726428,0.0
0.511,-44.019999999999996,-4.34679,58.7,75,4416,False,6363482,89180,1394,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-08,1578029048,3.501499891281128,5119.326601982117,26925,Francesco-PC,132.239.10.91,18.91667628288269,22410,4,0.2968627198862259,0.29516618755249463,0.8758477595469053,6274560,6363482,1600.493,21.831,2912.17,172.598,0.44999998807907104,9.999999747378752e-05,0.6226904,-0.0810948,0.6920801,0.97608733,0.026011094,3.5059574,0.0
0.517,-45.0,-4.181780000000001,59.78,78,4539,False,6368021,89258,1395,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-12,1578029052,3.5916812419891357,5122.918283224106,26925,Francesco-PC,132.239.10.91,22.508357524871826,26949,5,0.30170308004549456,0.29691513800907754,0.8727045306708544,6279040,6368021,1534.368,17.912,2790.821,138.87,0.675000011920929,9.999999747378752e-05,1.7437693,-0.07306624,1.8042815,0.94356376,0.018598536,3.6110706,0.0
0.517,-47.004,-5.860179999999999,56.92,73,4219,False,6372240,89331,1396,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-15,1578029055,3.219878911972046,5126.138162136078,26925,Francesco-PC,132.239.10.91,25.728236436843872,31168,6,0.30551917788561117,0.29864844486069947,0.8733340160231424,6283136,6372240,1466.337,15.259,2671.985,116.373,0.675000011920929,9.999999747378752e-05,2.3421242,-0.071330026,2.3989367,0.9477198,0.021507606,3.7944143,0.0
0.49,-47.004,-4.98748,64.3,60,4221,False,6376461,89391,1397,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-18,1578029058,3.2826547622680664,5129.420816898346,26925,Francesco-PC,132.239.10.91,29.01089119911194,35389,7,0.3085524434709404,0.29980326180373995,0.8723429542874114,6287232,6376461,1424.829,13.382,2589.026,100.308,1.0125000476837158,9.999999747378752e-05,1.7314558,-0.0596841,1.7769371,0.89272183,0.014027366,3.1428976,0.0
0.49,-36.016000000000005,-2.142,74.34,58,4297,False,6380758,89449,1398,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-22,1578029062,3.3614308834075928,5132.7822477817535,26925,Francesco-PC,132.239.10.91,32.37232208251953,39686,8,0.30961899485359573,0.29901918806210964,0.8667236088586401,6291456,6380758,1395.901,11.985,2534.408,88.257,1.0125000476837158,9.999999747378752e-05,0.3424372,-0.054309793,0.38296723,0.6049223,0.013609667,2.575088,0.0
0.532,-40.980000000000004,-3.57336,63.66,72,4268,False,6385026,89521,1399,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-25,1578029065,3.4008219242095947,5136.183069705963,26925,Francesco-PC,132.239.10.91,35.773144006729126,43954,9,0.3105887989385802,0.30042798977061025,0.868305546035416,6295680,6385026,1370.72,10.884,2498.957,78.905,1.0125000476837158,9.999999747378752e-05,4.0116825,-0.077597246,4.0721006,0.8856582,0.016967067,3.672694,0.0
0.532,-30.106,-2.4511199999999995,65.27,65,4380,False,6389406,89586,1400,0d51adf0cf1b45ff98c12bd9b4b0ad2c,2020-01-02_21-24-28,1578029068,3.416247844696045,5139.599317550659,26925,Francesco-PC,132.239.10.91,39.18939185142517,48334,10,0.3122754422494359,0.3014775612358087,0.8702340146367122,6300032,6389406,1352.215,10.006,2470.526,71.424,1.0125000476837158,9.999999747378752e-05,0.79584014,-0.05436714,0.83630055,0.9536098,0.013735138,2.7585328,0.0
