episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.24299999999999997,-0.313,-0.03692982456140352,76.47368421052632,57,4359,False,4359,57,1,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-36,1578065496,5.687620639801025,5.687620639801025,1738,Francesco-PC,132.239.10.91,5.687620639801025,4359,1,0.3662694432134411,0.35310619442272684,1.3424256794546356,4352,4359,1494.978,85.442,2974.374,1057.186,0.20000000298023224,9.999999747378752e-05,-0.040499434,-0.04884725,0.0034904336,0.2521974,0.024286909,2.087638,0.0
0.372,-0.313,0.007599999999999983,77.68,54,4213,False,8572,111,2,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-39,1578065499,3.3421056270599365,9.029726266860962,1738,Francesco-PC,132.239.10.91,9.029726266860962,8572,2,0.35733411408198235,0.3425724672075762,1.246295302969361,8448,8572,1326.033,45.075,2569.794,530.961,0.30000001192092896,9.999999747378752e-05,-0.022460539,-0.03153562,0.0035406952,0.19476947,0.018447954,2.076788,0.0
0.372,-47.006999999999984,-1.8631799999999998,76.44,57,4253,False,12825,168,3,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-42,1578065502,3.3519840240478516,12.381710290908813,1738,Francesco-PC,132.239.10.91,12.381710290908813,12825,3,0.3475792706079443,0.33280738657994896,1.135540820889839,12672,12825,1259.679,30.783,2448.682,355.562,0.30000001192092896,9.999999747378752e-05,9.030909,-0.022368152,9.049889,0.63285166,0.011290835,2.0939333,0.0
0.395,-72.0,-4.52478,74.93,57,4251,False,17076,225,4,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-46,1578065506,3.3659229278564453,15.747633218765259,1738,Francesco-PC,132.239.10.91,15.747633218765259,17076,4,0.34471870402635924,0.3298748981725312,1.0944205384950512,16896,17076,1229.489,24.006,2388.353,267.855,0.30000001192092896,9.999999747378752e-05,22.634684,-0.026830785,22.656609,0.63536775,0.016362825,2.091979,0.0
0.395,-90.0,-16.098860000000002,73.98,58,4257,False,21333,283,5,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-49,1578065509,3.3711700439453125,19.11880326271057,1738,Francesco-PC,132.239.10.91,19.11880326271057,21333,5,0.3429224872173677,0.3280730182162925,1.0682826416409616,21120,21333,1213.39,19.864,2351.287,215.143,0.30000001192092896,9.999999747378752e-05,107.973595,-0.03126348,107.99862,0.6426717,0.02079931,2.087943,0.0
0.33599999999999997,-90.0,-33.13237,69.09,66,4404,False,25737,349,6,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-53,1578065513,3.45635724067688,22.57516050338745,1738,Francesco-PC,132.239.10.91,22.57516050338745,25737,6,0.3415363070850019,0.3267765209324217,1.0481749697365295,25472,25737,1206.499,17.179,2336.775,180.087,0.44999998807907104,9.999999747378752e-05,112.65478,-0.032273434,112.68013,0.59123755,0.015384074,2.1032894,0.0
0.33599999999999997,-84.0,-29.879049999999992,67.32,63,4328,False,30065,412,7,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-31-56,1578065516,3.553718328475952,26.128878831863403,1738,Francesco-PC,132.239.10.91,26.128878831863403,30065,7,0.3408354408723501,0.3259823532933751,1.039238836646941,29696,30065,1201.21,15.064,2341.131,154.958,0.44999998807907104,9.999999747378752e-05,47.551914,-0.039018735,47.584152,0.71986705,0.015064072,2.0030847,0.0
0.352,-69.0,-17.72598,72.98,55,4241,False,34306,467,8,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-32-00,1578065520,3.4255948066711426,29.554473638534546,1738,Francesco-PC,132.239.10.91,29.554473638534546,34306,8,0.34180268586381585,0.32675080347043073,1.044339794108972,33920,34306,1200.751,13.532,2324.755,136.094,0.44999998807907104,9.999999747378752e-05,12.49776,-0.03289852,12.524486,0.7856164,0.013719217,1.9647362,0.0
0.363,-69.0,-9.219359999999998,76.46,55,4286,False,38592,522,9,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-32-03,1578065523,3.4773049354553223,33.03177857398987,1738,Francesco-PC,132.239.10.91,33.03177857398987,38592,9,0.3410124146423323,0.3261063642437731,1.0422828237357422,38144,38592,1202.38,12.531,2315.545,121.515,0.44999998807907104,9.999999747378752e-05,14.019684,-0.038863268,14.051882,0.7669993,0.0148101915,1.9672077,0.0
0.363,-68.983,-15.29201,70.81,63,4335,False,42927,585,10,cab64ead755c4fcfa24ca11a8df2170b,2020-01-03_07-32-07,1578065527,4.173004150390625,37.20478272438049,1738,Francesco-PC,132.239.10.91,37.20478272438049,42927,10,0.3435022909666287,0.3282756633388798,1.0718709803759232,42368,42927,1247.145,11.656,2334.158,109.846,0.44999998807907104,9.999999747378752e-05,22.878994,-0.039312925,22.91187,0.7742406,0.014305487,2.002522,0.0
