episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.4310000000000001,-10.967999999999993,-0.5506052631578949,179.78947368421052,38,6832,False,228783,3143,51,312d205497ca477e8094aa385cb42380,2020-01-03_08-46-58,1578070018,6.96267032623291,194.5747435092926,6076,Francesco-PC,132.239.10.91,6.96267032623291,6832,1,0.33483326214701864,0.32769995532025226,1.137560344724219,225152,228783,1946.282,81.357,4172.166,701.844,0.44999998807907104,9.999999747378752e-05,2.5656292,-0.03644842,2.591281,-0.8464902,0.023992572,1.6334629,0.0
0.48599999999999993,-21.009999999999998,-1.1847674418604652,132.3953488372093,48,4554,False,233337,3191,52,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-02,1578070022,3.745941400527954,198.32068490982056,6076,Francesco-PC,132.239.10.91,10.708611726760864,11386,2,0.33733685371578137,0.3290177268577555,1.129614586152474,229632,233337,1624.323,41.809,3298.284,353.964,0.30000001192092896,9.999999747378752e-05,0.25913978,-0.049007524,0.30184808,0.91254,0.020997532,1.580332,0.0
0.48599999999999993,-19.006999999999998,-1.6854700000000002,76.61,66,4515,False,237852,3257,53,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-06,1578070026,3.700547933578491,202.02123284339905,6076,Francesco-PC,132.239.10.91,14.409159660339355,15901,3,0.33916686350736003,0.328944695025845,1.1125112671470017,234112,237852,1508.495,28.534,3000.724,237.625,0.44999998807907104,9.999999747378752e-05,0.33033353,-0.04620553,0.36930233,0.8973179,0.016081566,1.6364416,0.0
0.4380000000000001,-35.01,-4.203329999999999,57.57,75,4243,False,242095,3332,54,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-09,1578070029,3.511406421661377,205.53263926506042,6076,Francesco-PC,132.239.10.91,17.920566082000732,20144,4,0.3431604752317452,0.32922538091163356,1.107329999607387,238336,242095,1437.146,22.018,2818.143,179.269,0.44999998807907104,9.999999747378752e-05,2.1210134,-0.053729307,2.1665306,0.88430566,0.018248413,1.6803153,0.0
0.492,-35.021,-3.6654,57.3,75,4316,False,246411,3407,55,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-13,1578070033,3.552870273590088,209.0855095386505,6076,Francesco-PC,132.239.10.91,21.47343635559082,24460,5,0.3460073948304722,0.32985399720446856,1.101559550945919,242560,246411,1398.666,18.032,2712.561,144.323,0.44999998807907104,9.999999747378752e-05,1.1131762,-0.05083639,1.1575606,0.8952459,0.014337368,1.6327418,0.0
0.4760000000000001,-32.0,-4.11266,57.2,77,4392,False,250803,3484,56,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-16,1578070036,3.618530750274658,212.70404028892517,6076,Francesco-PC,132.239.10.91,25.09196710586548,28852,6,0.3485488478633837,0.3315343430216498,1.1023006951023404,246912,250803,1373.823,15.373,2652.401,120.968,0.44999998807907104,9.999999747378752e-05,2.190607,-0.03821994,2.222544,0.87362385,0.013961249,1.6659858,0.0
0.391,-31.020000000000003,-3.7207800000000004,62.28,68,4261,False,255064,3552,57,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-20,1578070040,3.516997814178467,216.22103810310364,6076,Francesco-PC,132.239.10.91,28.608964920043945,33113,7,0.34791537123984395,0.3307544947843117,1.0963434278350264,251136,255064,1352.043,13.458,2598.882,104.28,0.44999998807907104,9.999999747378752e-05,1.8575083,-0.040058408,1.8915904,0.83978164,0.013280709,1.6305293,0.0
0.562,-28.002000000000002,-1.75651,67.85,64,4494,False,259558,3616,58,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-24,1578070044,3.6690633296966553,219.8901014328003,6076,Francesco-PC,132.239.10.91,32.2780282497406,37607,8,0.3481137769475376,0.3309417580741292,1.0917824148686703,255616,259558,1339.576,12.044,2573.875,91.815,0.44999998807907104,9.999999747378752e-05,0.44570884,-0.057729375,0.49535948,0.8503461,0.017952785,1.5554233,0.0
0.475,-30.001,-1.3262399999999999,72.24,64,4390,False,263948,3680,59,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-27,1578070047,3.6068549156188965,223.4969563484192,6076,Francesco-PC,132.239.10.91,35.8848831653595,41997,9,0.34898741281230433,0.3309599046945053,1.0876354470117438,259968,263948,1329.479,10.961,2547.855,82.133,0.44999998807907104,9.999999747378752e-05,0.3099328,-0.044942737,0.34835252,0.8630675,0.0144956,1.6123395,0.0
0.452,-30.001,-2.2271199999999998,54.81,78,4271,False,268219,3758,60,312d205497ca477e8094aa385cb42380,2020-01-03_08-47-31,1578070051,3.4888761043548584,226.98583245277405,6076,Francesco-PC,132.239.10.91,39.373759269714355,46268,10,0.35129773934022823,0.3319981768017065,1.0853575906216855,264192,268219,1316.898,10.088,2519.781,74.371,0.44999998807907104,9.999999747378752e-05,0.60676163,-0.05021403,0.6499374,0.85989785,0.01564043,1.620087,0.0
