episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.537,-0.045000000000000435,0.31709302325581395,112.13953488372093,43,4822,False,4404258,76239,971,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-18,1578227358,4.797027111053467,3551.694221496582,12482,Francesco-PC,132.239.10.91,4.797027111053467,4822,1,0.33844338823833087,0.3123701814887355,1.0440185151845376,4339968,4404258,1263.078,68.475,2736.766,673.276,1.2989283800125122,9.999999747378752e-05,-0.03348596,-0.051554713,0.004760834,0.71419156,0.010245304,1.0653963,0.0
0.537,-23.011,-0.24203000000000008,79.24,59,4308,False,4408566,76298,972,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-21,1578227361,3.215177059173584,3554.9093985557556,12482,Francesco-PC,132.239.10.91,8.01220417022705,9130,2,0.3350914718613805,0.31053459561506785,1.0093438189686301,4344192,4408566,1174.486,35.381,2424.311,339.243,0.20000000298023224,9.999999747378752e-05,0.11186783,-0.05705759,0.16242404,0.96554106,0.032506917,1.815424,0.0
0.536,-16.886999999999997,-0.17337999999999998,50.18,89,4176,False,4412742,76387,973,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-24,1578227364,3.123558759689331,3558.032957315445,12482,Francesco-PC,132.239.10.91,11.135762929916382,13306,3,0.3260323018176917,0.30717824181101,0.9687947146668532,4348288,4412742,1136.777,24.28,2297.336,227.595,0.30000001192092896,9.999999747378752e-05,0.08142025,-0.056803275,0.13194874,0.81479996,0.020915987,2.3262835,0.0
0.5520000000000002,-34.800999999999995,-1.5179599999999993,45.26,94,4268,False,4417010,76481,974,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-27,1578227367,3.2347114086151123,3561.26766872406,12482,Francesco-PC,132.239.10.91,14.370474338531494,17574,4,0.3265615750771776,0.30682813098023765,0.9585612833864875,4352512,4417010,1132.924,18.754,2247.193,171.645,0.44999998807907104,9.999999747378752e-05,0.18129058,-0.06514585,0.23617616,0.959992,0.022800578,2.831014,0.0
0.5950000000000001,-24.715999999999998,-0.5223199999999999,55.86,76,4658,False,4421668,76557,975,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-31,1578227371,3.59488582611084,3564.862554550171,12482,Francesco-PC,132.239.10.91,17.965360164642334,22232,5,0.33108503083593094,0.30885536322137663,0.9566806215856125,4357120,4421668,1163.132,15.467,2256.494,138.133,0.675000011920929,9.999999747378752e-05,0.029408779,-0.052621566,0.07192977,0.90214986,0.0149638355,2.2247179,0.0
0.5950000000000001,-22.74,-0.7886099999999999,61.7,72,4996,False,4426664,76629,976,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-35,1578227375,3.8506851196289062,3568.7132396698,12482,Francesco-PC,132.239.10.91,21.81604528427124,27228,6,0.3374201994257912,0.3124187428278944,0.9601665036840515,4362112,4426664,1190.85,13.431,2297.543,115.875,0.675000011920929,9.999999747378752e-05,0.12272243,-0.042221017,0.15753417,0.95175296,0.010976687,1.7397748,0.0
0.5840000000000002,-21.733999999999995,-0.2541999999999999,63.08,74,4459,False,4431123,76703,977,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-38,1578227378,3.3686814308166504,3572.0819211006165,12482,Francesco-PC,132.239.10.91,25.18472671508789,31687,7,0.3400464121791829,0.3132885194880772,0.960393147649787,4366464,4431123,1184.668,11.819,2284.312,99.878,0.675000011920929,9.999999747378752e-05,0.048403136,-0.057410054,0.0954421,0.8294176,0.015364573,1.9297609,0.0
0.5690000000000002,-22.712999999999997,0.035140000000000025,53.0,88,4305,False,4435428,76791,978,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-41,1578227381,3.2925891876220703,3575.3745102882385,12482,Francesco-PC,132.239.10.91,28.47731590270996,35992,8,0.3377790085202053,0.312232213273985,0.9632754300198715,4370688,4435428,1179.0,10.609,2265.614,87.932,0.675000011920929,9.999999747378752e-05,-0.023558257,-0.05265083,0.020202195,0.5437195,0.013170925,2.2224727,0.0
0.5920000000000002,-22.712999999999997,-0.5703500000000001,52.08,89,4416,False,4439844,76880,979,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-45,1578227385,3.330981731414795,3578.7054920196533,12482,Francesco-PC,132.239.10.91,31.808297634124756,40408,9,0.33416344931061615,0.3103063503140052,0.9593951893718244,4375040,4439844,1171.766,9.669,2258.313,78.622,0.675000011920929,9.999999747378752e-05,0.13764448,-0.050183788,0.17932038,0.9218068,0.012604306,2.205343,0.0
0.5650000000000001,-14.731000000000005,-0.31904000000000016,48.48,93,4523,False,4444367,76973,980,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-48,1578227388,3.5630877017974854,3582.268579721451,12482,Francesco-PC,132.239.10.91,35.37138533592224,44931,10,0.3332331109346164,0.30965666768894373,0.9543986881320811,4379520,4444367,1185.87,8.92,2255.718,71.205,0.675000011920929,9.999999747378752e-05,0.017921915,-0.06042255,0.06963429,0.9594224,0.012903964,2.1783073,0.0
0.557,-12.019,-0.23577,53.88,84,4650,False,4449017,77057,981,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-52,1578227392,3.4926681518554688,3585.7612478733063,12482,Francesco-PC,132.239.10.91,38.86405348777771,49581,11,0.3394805780008089,0.3134094654543368,0.9615533691034812,4384128,4449017,1175.689,2.28,2213.367,4.322,0.675000011920929,9.999999747378752e-05,0.01469133,-0.049759433,0.053891957,0.9020827,0.015642667,1.9948739,0.0
0.4919999999999999,-13.02,-0.057630000000000015,57.54,72,4563,False,4453580,77129,982,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-55,1578227395,3.494135856628418,3589.2553837299347,12482,Francesco-PC,132.239.10.91,42.35818934440613,54144,12,0.340426675872061,0.31344911793371094,0.9578780344230435,4388608,4453580,1192.727,2.276,2224.279,4.248,0.675000011920929,9.999999747378752e-05,-0.032797962,-0.058527287,0.016132282,0.664732,0.014217839,1.8213979,0.0
0.5930000000000001,-27.74099999999999,-0.2702599999999997,66.26,76,4459,False,4458039,77205,983,cdbd70fd223d436d938ddb5a0f3adcd8,2020-01-05_04-29-59,1578227399,3.3142316341400146,3592.5696153640747,12482,Francesco-PC,132.239.10.91,45.67242097854614,58603,13,0.34059898493063406,0.3125494073451614,0.9524280353981845,4392960,4458039,1200.456,2.316,2235.702,4.251,0.675000011920929,9.999999747378752e-05,0.15520991,-0.045386665,0.19230454,0.8340228,0.012284539,1.9339999,0.0
