episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.41500000000000004,-0.6160000000000004,0.14436363636363628,367.1363636363636,22,8077,False,7718006,118814,1691,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-02,1578152342,7.21392297744751,6056.502491950989,21944,Francesco-PC,132.239.10.91,7.21392297744751,8077,1,0.3037437908568384,0.3041773244837942,1.0054753126831895,7609600,7718006,1970.136,64.84,4486.011,633.606,3.417187452316284,9.999999747378752e-05,0.08646678,-0.007403435,0.032259144,-0.78976494,0.018029762,0.57681733,0.0
0.4630000000000001,-12.974,-0.25339393939393945,187.75757575757575,44,4315,False,7722321,118858,1692,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-05,1578152345,3.216381549835205,6059.718873500824,21944,Francesco-PC,132.239.10.91,10.430304527282715,12392,2,0.3033057481034791,0.3026598225833109,0.9837529179096198,7613824,7722321,1518.25,33.406,3308.909,319.682,0.20000000298023224,9.999999747378752e-05,-0.014929583,-0.07388486,0.053540632,0.9652601,0.02707327,2.0439925,0.0
0.467,-43.003,-2.2162100000000002,75.36,72,4371,False,7726692,118930,1693,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-09,1578152349,4.2377402782440186,6063.956613779068,21944,Francesco-PC,132.239.10.91,14.668044805526733,16763,3,0.30349614575483225,0.29767656991548075,0.9618700977238723,7618176,7726692,1684.708,23.465,2939.713,214.595,0.30000001192092896,9.999999747378752e-05,1.3932421,-0.07246165,1.4593115,0.9488946,0.021307401,3.2375607,0.0
0.501,-52.0,-3.5757200000000005,57.24,79,4372,False,7731064,119009,1694,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-13,1578152353,3.436955213546753,6067.393568992615,21944,Francesco-PC,132.239.10.91,18.105000019073486,21135,4,0.30843794214603387,0.29902279260095416,0.9655662432038463,7622528,7731064,1565.919,18.113,2755.918,163.476,0.44999998807907104,9.999999747378752e-05,1.8388994,-0.07957249,1.9083506,0.95947784,0.022491882,3.4506114,0.0
0.501,-44.050000000000004,-6.60227,52.5,82,4312,False,7735376,119091,1695,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-16,1578152356,3.270742177963257,6070.664311170578,21944,Francesco-PC,132.239.10.91,21.375742197036743,25447,5,0.3155623988285759,0.302680831839464,0.9634934170590332,7626752,7735376,1474.938,14.914,2632.021,132.911,0.675000011920929,9.999999747378752e-05,2.744581,-0.08353197,2.8130646,0.94473344,0.022294095,4.1175013,0.0
0.513,-45.041,-6.141500000000001,52.51,84,4410,False,7739786,119175,1696,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-19,1578152359,3.316084146499634,6073.980395317078,21944,Francesco-PC,132.239.10.91,24.691826343536377,29857,6,0.31799649413492476,0.3034335209305941,0.9579436246876183,7631104,7739786,1413.341,12.781,2558.23,112.275,1.0125000476837158,9.999999747378752e-05,4.0068445,-0.077354565,4.067094,0.90629494,0.016894111,4.269933,0.0
0.513,-45.041,-5.24291,58.63,71,4414,False,7744200,119246,1697,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-23,1578152363,3.3605809211730957,6077.340976238251,21944,Francesco-PC,132.239.10.91,28.052407264709473,34271,7,0.31993083264332056,0.3035993690438808,0.9555242300948121,7635456,7744200,1373.695,11.26,2507.955,97.005,1.0125000476837158,9.999999747378752e-05,1.4118768,-0.06662429,1.4623781,0.94672495,0.015923886,3.1094577,0.0
0.54,-47.007000000000005,-3.8221599999999993,62.91,72,4622,False,7748822,119318,1698,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-26,1578152366,3.5624537467956543,6080.903429985046,21944,Francesco-PC,132.239.10.91,31.614861011505127,38893,8,0.32166751756457423,0.30440591015848556,0.9516404028895505,7640064,7748822,1349.655,10.142,2489.934,85.397,1.0125000476837158,9.999999747378752e-05,1.8871428,-0.07383588,1.9451697,0.91668075,0.015613971,3.1500392,0.0
0.54,-53.0,-4.742879999999999,58.33,73,4142,False,7752964,119391,1699,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-29,1578152369,3.148923397064209,6084.052353382111,21944,Francesco-PC,132.239.10.91,34.763784408569336,43035,9,0.32270532460961937,0.30471964513559885,0.9489671926081076,7644160,7752964,1316.747,9.226,2443.576,77.035,1.0125000476837158,9.999999747378752e-05,3.5849729,-0.071625456,3.6422634,0.921944,0.0141578745,3.4955418,0.0
0.466,-53.0,-5.682710000000001,51.58,85,4390,False,7757354,119476,1700,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-33,1578152373,3.308925151824951,6087.361278533936,21944,Francesco-PC,132.239.10.91,38.07270956039429,47425,10,0.3242093934045303,0.30511728328470944,0.9444452678760925,7648512,7757354,1296.546,8.51,2416.878,69.801,1.0125000476837158,9.999999747378752e-05,2.2303464,-0.07740166,2.2921314,0.9409418,0.0154237375,3.912029,0.0
0.44699999999999995,-45.84,-7.049879999999999,51.4,83,4277,False,7761631,119559,1701,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-37,1578152377,3.2547261714935303,6090.616004705429,21944,Francesco-PC,132.239.10.91,41.32743573188782,51702,11,0.32501898939694857,0.3057677474795589,0.9430469074389413,7652736,7761631,1208.607,2.229,2182.242,7.645,1.0125000476837158,9.999999747378752e-05,6.145586,-0.09705775,6.221058,0.9099228,0.021319294,4.546661,0.0
0.45000000000000007,-48.0,-7.101290000000001,56.3,78,4492,False,7766123,119637,1702,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-40,1578152380,3.402721405029297,6094.018726110458,21944,Francesco-PC,132.239.10.91,44.730157136917114,56194,12,0.3250621973994089,0.3054319185332143,0.9429633773922211,7657216,7766123,1215.924,2.237,2193.623,7.57,1.5187499523162842,9.999999747378752e-05,6.1145825,-0.07516794,6.1690273,0.89034414,0.013645339,3.9794717,0.0
0.47700000000000004,-45.009,-4.618200000000001,62.45,64,4319,False,7770442,119701,1703,173f521a72d24855a5ce88902d05cd5a,2020-01-04_07-39-44,1578152384,3.21970796585083,6097.238434076309,21944,Francesco-PC,132.239.10.91,47.949865102767944,60513,13,0.32690907514970385,0.30617252682944435,0.9434184433421862,7661440,7770442,1122.922,2.079,2185.048,7.651,1.5187499523162842,9.999999747378752e-05,2.1172736,-0.05612153,2.158227,0.90755284,0.009987093,2.657561,0.0
