episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.17799999999999994,-0.18300000000000005,-0.00750909090909093,77.81818181818181,55,4280,False,4280,55,1,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-53-49,1578156829,5.434077501296997,5.434077501296997,25043,Francesco-PC,132.239.10.91,5.434077501296997,4280,1,0.33905615729022903,0.32450312934232106,1.1478908116564224,4224,4280,1305.971,70.533,2724.338,1269.298,0.20000000298023224,9.999999747378752e-05,-0.039110716,-0.046228956,0.002095618,0.24756026,0.025113128,2.09434,0.0
0.32600000000000007,-25.02,-0.23908000000000004,77.38,58,4419,False,8699,113,2,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-53-52,1578156832,3.4741923809051514,8.908269882202148,25043,Francesco-PC,132.239.10.91,8.908269882202148,8699,2,0.33707523837597647,0.323915623682927,1.1010693011992818,8576,8699,1240.385,37.576,2501.113,637.179,0.30000001192092896,9.999999747378752e-05,1.3606842,-0.018555084,1.3765583,0.40418708,0.008936193,2.0842464,0.0
0.26499999999999996,-73.02599999999998,-2.6095599999999997,76.91,58,4474,False,13173,171,3,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-53-56,1578156836,3.461313009262085,12.369582891464233,25043,Francesco-PC,132.239.10.91,12.369582891464233,13173,3,0.3343427892684143,0.32258014983987104,1.0463454689445293,12928,13173,1214.589,26.035,2427.231,426.458,0.30000001192092896,9.999999747378752e-05,14.53001,-0.022045707,14.548232,0.6111203,0.012751004,2.0929327,0.0
0.33599999999999997,-70.012,-3.8037699999999997,79.08,54,4347,False,17520,225,4,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-53-59,1578156839,3.3718268871307373,15.74140977859497,25043,Francesco-PC,132.239.10.91,15.74140977859497,17520,4,0.33248829685911174,0.3211679876195319,1.0213049520839628,17152,17520,1198.514,20.413,2371.067,320.852,0.30000001192092896,9.999999747378752e-05,31.369392,-0.036214042,31.399078,0.61500263,0.021772187,2.0939958,0.0
0.273,-72.0,-7.93447,75.55,58,4187,False,21707,283,5,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-54-03,1578156843,3.322667360305786,19.064077138900757,25043,Francesco-PC,132.239.10.91,19.064077138900757,21707,5,0.33275553857986806,0.3212808719599258,1.014787191546549,21248,21707,1184.492,17.179,2331.685,257.651,0.44999998807907104,9.999999747378752e-05,39.51575,-0.025229765,39.5356,0.68885684,0.011957663,2.0953164,0.0
0.273,-84.0,-21.750669999999996,73.94,59,4430,False,26137,342,6,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-54-06,1578156846,3.4405181407928467,22.504595279693604,25043,Francesco-PC,132.239.10.91,22.504595279693604,26137,6,0.3330544809888314,0.32175137296686984,1.0109722327554969,25600,26137,1179.011,14.714,2321.594,215.386,0.44999998807907104,9.999999747378752e-05,149.39244,-0.039835792,149.42409,0.46875146,0.018191036,2.112319,0.0
0.411,-87.00399999999999,-21.796189999999996,78.77,53,4361,False,30498,395,7,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-54-10,1578156850,3.4354445934295654,25.94003987312317,25043,Francesco-PC,132.239.10.91,25.94003987312317,30498,7,0.3322452630899823,0.3215681703817297,1.005385226654403,29952,30498,1174.399,13.253,2313.952,185.285,0.44999998807907104,9.999999747378752e-05,83.83598,-0.041980393,83.86936,0.56048745,0.019143574,2.0619783,0.0
0.411,-87.00399999999999,-3.81702,77.35,57,4213,False,34711,452,8,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-54-13,1578156853,3.297111749649048,29.237151622772217,25043,Francesco-PC,132.239.10.91,29.237151622772217,34711,8,0.3308550775114136,0.32027628315133055,0.9986606488069654,34048,34711,1169.969,12.267,2291.892,162.701,0.44999998807907104,9.999999747378752e-05,0.9254353,-0.04102863,0.95856714,-1.0,0.017548636,2.0434346,0.0
0.30000000000000004,-0.17700000000000002,0.05914999999999997,73.68,58,4288,False,38999,510,9,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-54-16,1578156856,3.343726634979248,32.580878257751465,25043,Francesco-PC,132.239.10.91,32.580878257751465,38999,9,0.33016416251135444,0.31944403626121987,0.9928914190913309,38272,38999,1163.626,11.167,2283.058,145.109,0.44999998807907104,9.999999747378752e-05,0.15409324,-0.03908986,0.18741773,-1.0,0.01281199,2.014031,0.0
0.36400000000000005,-70.01299999999999,-3.4820699999999998,75.35,56,4303,False,43302,566,10,f1f431eb2b344656955a68c4c99ee8ba,2020-01-04_08-54-20,1578156860,3.4162075519561768,35.99708580970764,25043,Francesco-PC,132.239.10.91,35.99708580970764,43302,10,0.3302601380453625,0.31949790187293853,0.9920294550916412,42496,43302,1161.592,10.495,2279.969,131.054,0.44999998807907104,9.999999747378752e-05,24.749334,-0.03709588,24.778366,0.71267956,0.01791983,1.9999257,0.0
