episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.302,-16.79100000000001,-0.46200000000000024,110.7560975609756,41,4541,False,47996,619,11,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-16,1578159316,5.387234687805176,41.61988949775696,29111,Francesco-PC,132.239.10.91,5.387234687805176,4541,1,0.34212405788049627,0.33485952852377576,1.2236534947320576,47232,47996,1387.375,76.371,2853.625,1013.254,0.44999998807907104,9.999999747378752e-05,18.971327,-0.033182383,18.995955,-0.99382323,0.019018568,1.8966388,0.0
0.302,-41.012,-0.6408279569892474,96.7741935483871,52,4459,False,52455,671,12,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-19,1578159319,3.6588127613067627,45.27870225906372,29111,Francesco-PC,132.239.10.91,9.046047449111938,9000,2,0.343663128948909,0.33631330932330583,1.2035413515475066,51584,52455,1356.079,39.149,2585.241,508.891,0.20000000298023224,9.999999747378752e-05,2.315029,-0.027352756,2.339201,0.24783278,0.015903594,1.9503481,0.0
0.28,-79.011,-3.23894,79.8,57,4262,False,56717,728,13,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-23,1578159323,3.5493128299713135,48.828015089035034,29111,Francesco-PC,132.239.10.91,12.595360279083252,13262,3,0.3443350477397469,0.3349901550683464,1.1661551002771744,55808,56717,1316.591,26.915,2486.974,340.874,0.20000000298023224,9.999999747378752e-05,13.203601,-0.030378548,13.22999,0.70960456,0.019946737,1.9670309,0.0
0.281,-50.981,-2.75902,75.4,59,4443,False,61160,787,14,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-26,1578159326,3.546433925628662,52.374449014663696,29111,Francesco-PC,132.239.10.91,16.141794204711914,17705,4,0.3435774211130791,0.33362052318278296,1.1374110598861527,60160,61160,1299.007,20.71,2436.006,256.709,0.20000000298023224,9.999999747378752e-05,1.9762309,-0.034139127,2.0064783,0.7296398,0.019458553,1.9487722,0.0
0.281,-55.010999999999996,-5.8210299999999995,70.34,66,4391,False,65551,853,15,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-30,1578159330,3.604421854019165,55.97887086868286,29111,Francesco-PC,132.239.10.91,19.74621605873108,22096,5,0.3431377598976747,0.33178417592648657,1.1085544331208355,64512,65551,1282.612,16.963,2422.662,206.183,0.20000000298023224,9.999999747378752e-05,16.671646,-0.03934975,16.706633,0.7480218,0.021815661,1.9983433,0.0
0.26099999999999995,-56.0,-7.70251,73.98,65,5018,False,70569,918,16,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-34,1578159334,4.439243793487549,60.41811466217041,29111,Francesco-PC,132.239.10.91,24.185459852218628,27114,6,0.34465731705232455,0.3326204197767285,1.1017322900038593,69504,70569,1347.14,14.772,2477.165,172.515,0.30000001192092896,9.999999747378752e-05,15.76135,-0.036241215,15.791177,0.7435876,0.02138148,1.9285586,0.0
0.26099999999999995,-56.0,-9.67774,86.89,55,5630,False,76199,973,17,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-39,1578159339,4.628544330596924,65.04665899276733,29111,Francesco-PC,132.239.10.91,28.81400418281555,32744,7,0.3457690188244634,0.334528125324716,1.1035020769365926,75008,76199,1396.467,13.045,2539.98,148.53,0.44999998807907104,9.999999747378752e-05,7.183745,-0.03562882,7.211905,0.81141967,0.016595928,1.8720074,0.0
0.322,-56.0,-6.00798,105.49,39,4522,False,80721,1012,18,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-43,1578159343,3.593967914581299,68.64062690734863,29111,Francesco-PC,132.239.10.91,32.40797209739685,37266,8,0.3435015983338532,0.3326134916635181,1.0924270413510886,79488,80721,1374.707,11.692,2516.816,130.462,0.44999998807907104,9.999999747378752e-05,0.39585114,-0.030885959,0.4223334,-1.0,0.009786003,1.8714453,0.0
0.322,-50.982,-3.65538,100.12,52,4323,False,85044,1064,19,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-46,1578159346,3.450881004333496,72.09150791168213,29111,Francesco-PC,132.239.10.91,35.85885310173035,41589,9,0.33942634053746035,0.3291422174405109,1.076038776410603,83712,85044,1356.516,10.613,2484.166,116.454,0.44999998807907104,9.999999747378752e-05,5.2294207,-0.042796187,5.2665095,0.73976403,0.012682043,1.913559,0.0
0.39499999999999996,-50.982,-2.31123,79.91,58,4510,False,89554,1122,20,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-35-50,1578159350,3.7553253173828125,75.84683322906494,29111,Francesco-PC,132.239.10.91,39.61417841911316,46099,10,0.3399683138104736,0.32982960512143433,1.080417427747391,88192,89554,1355.234,9.796,2475.208,105.22,0.44999998807907104,9.999999747378752e-05,0.33934662,-0.03239361,0.366675,0.79534334,0.011256057,1.9042011,0.0
