episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.29999999999999993,-5.911000000000007,-0.16000000000000023,123.27027027027027,37,4561,False,94115,1159,21,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-38-55,1578159535,5.156509637832642,81.00334286689758,29325,Francesco-PC,132.239.10.91,5.156509637832642,4561,1,0.3435556704883984,0.33648070956701287,1.2086265234621492,92672,94115,1375.413,76.936,2966.883,680.291,0.44999998807907104,9.999999747378752e-05,0.084108494,-0.04254568,0.11344553,-0.12123177,0.029352553,1.8762813,0.0
0.30599999999999994,-38.018000000000015,-1.032869047619048,108.19047619047619,47,4527,False,98642,1206,22,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-38-59,1578159539,3.7606966495513916,84.76403951644897,29325,Francesco-PC,132.239.10.91,8.917206287384033,9088,2,0.34134137008009047,0.33312735260181714,1.1618832195881406,97152,98642,1318.386,39.909,2723.482,342.669,0.30000001192092896,9.999999747378752e-05,0.80689096,-0.03676645,0.8396208,0.72756886,0.013455585,1.88324,0.0
0.30599999999999994,-59.001999999999995,-2.9918000000000013,82.67,60,4207,False,102849,1266,23,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-03,1578159543,3.867161273956299,88.63120079040527,29325,Francesco-PC,132.239.10.91,12.784367561340332,13295,3,0.3386421857969299,0.3295965768971959,1.1114574219872377,101248,102849,1270.31,27.518,2705.939,229.94,0.30000001192092896,9.999999747378752e-05,5.1376333,-0.032158524,5.166586,0.7827692,0.010686806,1.8987887,0.0
0.303,-59.001999999999995,-3.537630000000001,69.19,61,4307,False,107156,1327,24,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-08,1578159548,4.5099451541900635,93.14114594459534,29325,Francesco-PC,132.239.10.91,17.294312715530396,17602,4,0.3477167723903836,0.33610479323543957,1.182972755379687,105472,107156,1369.131,21.419,2735.686,173.625,0.30000001192092896,9.999999747378752e-05,1.8887658,-0.031868637,1.9159956,0.8175965,0.015462289,1.8823777,0.0
0.297,-45.0,-4.083290000000001,67.38,67,4524,False,111680,1394,25,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-12,1578159552,4.029972076416016,97.17111802101135,29325,Francesco-PC,132.239.10.91,21.32428479194641,22126,5,0.3550210888201336,0.3403694180330521,1.2344026433616513,109952,111680,1412.352,17.683,2673.801,139.857,0.30000001192092896,9.999999747378752e-05,4.5935173,-0.04039098,4.626748,0.787746,0.023867946,1.8978829,0.0
0.342,-50.0,-8.265490000000002,78.07,66,5518,False,117198,1460,26,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-16,1578159556,4.587257385253906,101.75837540626526,29325,Francesco-PC,132.239.10.91,25.911542177200317,27644,6,0.35216797271105527,0.3377505443849245,1.2081616398724002,115456,117198,1449.361,15.198,2717.086,117.255,0.44999998807907104,9.999999747378752e-05,9.632167,-0.033195093,9.659156,0.8374874,0.013791621,1.8734264,0.0
0.342,-59.001,-9.80689,89.83,42,4308,False,121506,1502,27,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-20,1578159560,3.362941265106201,105.12131667137146,29325,Francesco-PC,132.239.10.91,29.27448344230652,31952,7,0.347971728582462,0.33458043735372006,1.1775098625032476,119680,121506,1406.931,13.337,2642.3,101.087,0.44999998807907104,9.999999747378752e-05,4.8983064,-0.03367403,4.926716,0.75335515,0.011698063,1.953619,0.0
0.41,-59.001,-3.66879,101.26,47,5102,False,126608,1549,28,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-23,1578159563,3.935933828353882,109.05725049972534,29325,Francesco-PC,132.239.10.91,33.2104172706604,37054,8,0.3452213414988647,0.33259725174070326,1.1536846424899045,124672,126608,1396.7,12.016,2636.059,89.033,0.44999998807907104,9.999999747378752e-05,0.08217609,-0.051172506,0.12659174,-0.5399598,0.015015214,1.8122541,0.0
0.41,-59.001,-0.9524000000000001,99.78,48,4580,False,131188,1597,29,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-27,1578159567,3.5410380363464355,112.59828853607178,29325,Francesco-PC,132.239.10.91,36.751455307006836,41634,9,0.3417607722176406,0.32937564239819167,1.1240327188583665,129152,131188,1376.188,10.936,2599.915,79.611,0.44999998807907104,9.999999747378752e-05,0.007039668,-0.054288756,0.054141186,-1.0,0.015971651,1.8540684,0.0
0.349,-27.90600000000001,-1.31905,77.35,66,4516,False,135704,1663,30,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-31,1578159571,3.567410469055176,116.16569900512695,29325,Francesco-PC,132.239.10.91,40.31886577606201,46150,10,0.340506417600428,0.3281788857578411,1.1078468022608152,133632,135704,1359.404,10.079,2574.058,72.077,0.44999998807907104,9.999999747378752e-05,1.6124283,-0.036148638,1.6430149,0.74432695,0.0123603735,1.8775138,0.0
0.3410000000000001,-17.012999999999998,-0.8719899999999998,66.29,67,4264,False,139968,1730,31,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-35,1578159575,3.4512951374053955,119.61699414253235,29325,Francesco-PC,132.239.10.91,43.77016091346741,50414,11,0.3405104363570559,0.3270478313923506,1.0952398583670566,137856,139968,1336.924,2.592,2503.97,6.061,0.44999998807907104,9.999999747378752e-05,0.48967695,-0.039354585,0.52318835,0.76984847,0.012984907,1.8792877,0.0
0.31999999999999995,-42.0,-1.3043599999999995,67.51,64,4411,False,144379,1794,32,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-39,1578159579,4.079429388046265,123.69642353057861,29325,Francesco-PC,132.239.10.91,47.84959030151367,54825,12,0.3425419313663719,0.32871612164456304,1.1016915778642844,142208,144379,1359.24,2.524,2513.435,6.004,0.44999998807907104,9.999999747378752e-05,0.8158088,-0.03119266,0.8428228,0.72667736,0.009285765,1.859981,0.0
0.37499999999999994,-42.0,-3.805089999999999,65.01,72,4348,False,148727,1866,33,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-43,1578159583,3.7557475566864014,127.45217108726501,29325,Francesco-PC,132.239.10.91,51.60533785820007,59173,13,0.3464264965227209,0.3321107101493427,1.1320811979229535,146432,148727,1396.655,2.457,2465.159,6.138,0.44999998807907104,9.999999747378752e-05,3.7663403,-0.043764897,3.8027973,0.78903,0.016239855,1.89756,0.0
0.43800000000000006,-32.029999999999994,-1.9550899999999996,64.67,66,4369,False,153096,1932,34,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-46,1578159586,3.4280335903167725,130.8802046775818,29325,Francesco-PC,132.239.10.91,55.033371448516846,63542,14,0.3473290089171379,0.3327986130214281,1.1365691784390566,150784,153096,1345.845,2.359,2407.972,6.108,0.44999998807907104,9.999999747378752e-05,0.3486107,-0.049625248,0.39238107,0.76132596,0.013010889,1.8312212,0.0
0.43800000000000006,-24.135,-1.4962100000000007,71.56,61,4542,False,157638,1993,35,76ed818b09fb490d9f1420691fd3f01d,2020-01-04_09-39-50,1578159590,3.55474591255188,134.43495059013367,29325,Francesco-PC,132.239.10.91,58.588117361068726,68084,15,0.34690326338609606,0.33157476419984766,1.1235789706162695,155264,157638,1309.561,2.32,2396.846,6.042,0.44999998807907104,9.999999747378752e-05,0.89624184,-0.041648254,0.93233436,0.77329415,0.012346189,1.8404789,0.0
