episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.14,-7.818000000000003,-0.18068421052631586,76.21052631578948,57,4344,False,4344,57,1,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-13,1578159793,6.074840545654297,6.074840545654297,30067,Francesco-PC,132.239.10.91,6.074840545654297,4344,1,0.39313774892080144,0.3737119768799378,1.5995262176991503,4224,4344,1706.88,77.64,2885.205,1342.762,0.20000000298023224,9.999999747378752e-05,0.1575587,-0.02170577,0.17789158,-0.32118547,0.006864484,2.107859,0.0
0.256,-7.818000000000003,-0.10922000000000004,76.32,58,4433,False,8777,115,2,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-17,1578159797,3.7129080295562744,9.787748575210571,30067,Francesco-PC,132.239.10.91,9.787748575210571,8777,2,0.38051610560016125,0.36196842325592304,1.444961304346631,8576,8777,1501.749,40.641,2641.258,673.844,0.20000000298023224,9.999999747378752e-05,-0.034584463,-0.0429576,0.0031339894,-0.04617518,0.026195738,2.110641,0.0
0.29400000000000004,-40.09199999999997,-1.3567899999999995,75.41,57,4293,False,13070,172,3,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-20,1578159800,3.6316192150115967,13.419367790222168,30067,Francesco-PC,132.239.10.91,13.419367790222168,13070,3,0.3680275649259018,0.3512181415047365,1.2943728325578505,12800,13070,1414.006,27.725,2552.34,451.114,0.30000001192092896,9.999999747378752e-05,5.482713,-0.029866844,5.5074406,0.47815174,0.017130857,2.1276875,0.0
0.31600000000000006,-40.09199999999997,-1.9792199999999993,74.48,60,4449,False,17519,232,4,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-24,1578159804,3.908782482147217,17.328150272369385,30067,Francesco-PC,132.239.10.91,17.328150272369385,17519,4,0.3656040740654855,0.34914593496958746,1.2573894017910172,17152,17519,1410.814,21.786,2536.048,339.377,0.30000001192092896,9.999999747378752e-05,3.6457646,-0.017464507,3.6596622,0.65789646,0.0118887685,2.1016896,0.0
0.31600000000000006,-82.0,-7.7960199999999995,75.96,56,4344,False,21863,288,5,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-28,1578159808,3.9806969165802,21.308847188949585,30067,Francesco-PC,132.239.10.91,21.308847188949585,21863,5,0.36590481883871173,0.3492343963604685,1.2683175337397032,21376,21863,1436.599,17.989,2513.229,272.519,0.30000001192092896,9.999999747378752e-05,67.586525,-0.026398927,67.607635,0.6085933,0.017594283,2.1221342,0.0
0.29900000000000004,-87.0,-22.334550000000004,76.97,57,4407,False,26270,345,6,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-32,1578159812,3.824631690979004,25.13347887992859,30067,Francesco-PC,132.239.10.91,25.13347887992859,26270,6,0.36658431554444854,0.3499832135492397,1.284007583236569,25728,26270,1442.29,15.776,2483.143,227.944,0.30000001192092896,9.999999747378752e-05,122.143166,-0.040995046,122.176544,0.5723542,0.025390875,2.0648444,0.0
0.238,-88.0,-20.915509999999998,83.51,48,4311,False,30581,393,7,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-36,1578159816,3.5430803298950195,28.67655920982361,30067,Francesco-PC,132.239.10.91,28.67655920982361,30581,7,0.3651700433663774,0.34956183629329146,1.2772506343732124,29952,30581,1410.548,14.137,2456.228,196.049,0.44999998807907104,9.999999747378752e-05,60.693195,-0.030736035,60.716286,0.60313696,0.016994467,1.9855245,0.0
0.3420000000000001,-88.0,-7.08063,85.11,55,4457,False,35038,448,8,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-40,1578159820,4.656538248062134,33.33309745788574,30067,Francesco-PC,132.239.10.91,33.33309745788574,35038,8,0.36453870120934945,0.35028933251348865,1.2911002294899903,34304,35038,1442.731,12.819,2519.995,172.234,0.44999998807907104,9.999999747378752e-05,11.6254,-0.049609315,11.667396,0.7783733,0.01692052,2.0003967,0.0
0.355,-64.013,-1.6329999999999998,80.63,54,4228,False,39266,502,9,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-44,1578159824,3.7985260486602783,37.13162350654602,30067,Francesco-PC,132.239.10.91,37.13162350654602,39266,9,0.3634561317339168,0.34949313987994357,1.3019990780098754,38528,39266,1432.846,11.802,2509.58,153.596,0.44999998807907104,9.999999747378752e-05,2.3561184,-0.035757832,2.3871741,0.7893786,0.010449254,1.9803735,0.0
0.37000000000000005,-62.0,-2.2123,76.8,59,4479,False,43745,561,10,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-48,1578159828,3.63210391998291,40.76372742652893,30067,Francesco-PC,132.239.10.91,40.76372742652893,43745,10,0.3616947399072765,0.3477270534183232,1.282596770332698,42880,43745,1408.898,10.84,2500.72,138.634,0.44999998807907104,9.999999747378752e-05,6.626852,-0.034724478,6.6567006,0.7135379,0.010836118,1.9877757,0.0
0.31700000000000006,-62.0,-6.060499999999998,76.08,58,4402,False,48147,619,11,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-52,1578159832,3.5007216930389404,44.26444911956787,30067,Francesco-PC,132.239.10.91,44.26444911956787,48147,11,0.3598942188970854,0.3456972174709189,1.256298182464651,47232,48147,1359.082,3.419,2437.723,6.583,0.44999998807907104,9.999999747378752e-05,12.603243,-0.0350591,12.63151,0.7379581,0.015095621,1.9887133,0.0
0.254,-64.994,-5.349430000000001,74.77,58,4329,False,52476,677,12,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-56,1578159836,3.3879263401031494,47.65237545967102,30067,Francesco-PC,132.239.10.91,47.65237545967102,52476,12,0.35870268160023294,0.34421010842653,1.2348577364007682,51456,52476,1347.604,3.255,2416.862,6.512,0.44999998807907104,9.999999747378752e-05,26.60675,-0.03898102,26.638716,0.35596588,0.015588011,2.0134525,0.0
0.292,-85.0,-4.705230000000001,74.28,59,4291,False,56767,736,13,41ac6070557544f382195bc3a1103850,2020-01-04_09-43-59,1578159839,3.3221709728240967,50.97454643249512,30067,Francesco-PC,132.239.10.91,50.97454643249512,56767,13,0.35714071117009,0.34256914065504673,1.2160188995797763,55680,56767,1336.936,3.335,2396.697,6.352,0.44999998807907104,9.999999747378752e-05,16.882347,-0.04104374,16.91689,0.82627815,0.014442233,2.014303,0.0
0.29200000000000004,-85.0,-5.8411800000000005,72.58,61,4399,False,61166,797,14,41ac6070557544f382195bc3a1103850,2020-01-04_09-44-03,1578159843,3.627152681350708,54.601699113845825,30067,Francesco-PC,132.239.10.91,54.601699113845825,61166,14,0.35568960217356604,0.34091160507383605,1.1999476343175588,60032,61166,1318.771,3.399,2386.714,6.392,0.44999998807907104,9.999999747378752e-05,8.034607,-0.03513928,8.064559,0.7827683,0.011524886,1.9769738,0.0
0.31200000000000006,-60.022000000000006,-5.63147,70.4,61,4237,False,65403,858,15,41ac6070557544f382195bc3a1103850,2020-01-04_09-44-06,1578159846,3.3572640419006348,57.95896315574646,30067,Francesco-PC,132.239.10.91,57.95896315574646,65403,15,0.3553958233292648,0.34051609197434746,1.1896350719573379,64256,65403,1281.322,3.463,2361.9,6.347,0.44999998807907104,9.999999747378752e-05,7.311508,-0.04016311,7.3453035,0.80468875,0.014149348,1.9974552,0.0
