episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.262,-0.34700000000000003,-0.043779661016949176,75.15254237288136,59,4434,False,4434,59,1,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-27,1578160647,5.430119514465332,5.430119514465332,31381,Francesco-PC,132.239.10.91,5.430119514465332,4434,1,0.3529779915095765,0.34211934148583684,1.2470052015730202,4352,4434,1414.96,79.886,2687.456,1183.317,0.20000000298023224,9.999999747378752e-05,-0.037579566,-0.04575275,0.003206743,0.32671967,0.024832202,2.0997672,0.0
0.276,-0.30300000000000005,-0.011790000000000016,75.37,57,4361,False,8795,116,2,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-30,1578160650,3.5213890075683594,8.951508522033691,31381,Francesco-PC,132.239.10.91,8.951508522033691,8795,2,0.3522077704810467,0.3404672154503517,1.1964951979784866,8704,8795,1315.442,41.716,2486.863,594.252,0.30000001192092896,9.999999747378752e-05,-0.02458301,-0.032997403,0.0030624892,0.20231202,0.017839689,2.0847323,0.0
0.36500000000000005,-58.010999999999996,-2.5518900000000007,77.18,57,4373,False,13168,173,3,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-34,1578160654,3.411011219024658,12.36251974105835,31381,Francesco-PC,132.239.10.91,12.36251974105835,13168,3,0.3460312665331463,0.33440694408048466,1.1150761392961979,13056,13168,1249.977,28.469,2415.92,397.695,0.30000001192092896,9.999999747378752e-05,29.26715,-0.02366583,29.286728,0.45267317,0.013633178,2.0853112,0.0
0.36500000000000005,-55.831999999999994,-4.169240000000001,75.79,59,4391,False,17559,232,4,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-37,1578160657,3.4527816772460938,15.815301418304443,31381,Francesco-PC,132.239.10.91,15.815301418304443,17559,4,0.34385008837820735,0.331773146117453,1.0786400836477008,17408,17559,1224.837,22.202,2383.01,299.372,0.30000001192092896,9.999999747378752e-05,29.677109,-0.024878617,29.696985,0.4887307,0.016668154,2.110352,0.0
0.32999999999999996,-84.0,-12.59878,73.41,59,4308,False,21867,291,5,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-40,1578160660,3.3484890460968018,19.163790464401245,31381,Francesco-PC,132.239.10.91,19.163790464401245,21867,5,0.3436817156623991,0.3310346692672571,1.0627516180716199,21632,21867,1204.804,18.637,2347.099,240.394,0.30000001192092896,9.999999747378752e-05,81.19578,-0.034332775,81.224396,0.678636,0.019045783,2.095665,0.0
0.3810000000000001,-87.001,-27.895040000000005,74.52,62,4633,False,26500,353,6,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-44,1578160664,3.7166025638580322,22.880393028259277,31381,Francesco-PC,132.239.10.91,22.880393028259277,26500,6,0.3419833325008043,0.32890260325296616,1.0468331590136146,26240,26500,1219.684,16.353,2356.225,201.128,0.30000001192092896,9.999999747378752e-05,168.53897,-0.043118577,168.57358,0.46584067,0.028287994,2.0595458,0.0
0.527,-87.001,-26.235480000000003,81.53,48,4219,False,30719,401,7,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-47,1578160667,3.242626190185547,26.123019218444824,31381,Francesco-PC,132.239.10.91,26.123019218444824,30719,7,0.34014484910662285,0.3273955333144843,1.0358674473489562,30336,30719,1200.7,14.316,2325.094,172.987,0.44999998807907104,9.999999747378752e-05,85.334435,-0.03672698,85.36383,0.5485973,0.01629955,1.995866,0.0
0.527,-70.031,-6.346380000000002,86.18,53,4465,False,35184,454,8,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-51,1578160671,3.4571402072906494,29.580159425735474,31381,Francesco-PC,132.239.10.91,29.580159425735474,35184,8,0.33770529202092914,0.32599233519445986,1.0264292281615668,34688,35184,1198.141,12.796,2316.883,151.894,0.44999998807907104,9.999999747378752e-05,3.5091677,-0.05322309,3.5505147,0.038834333,0.026391082,1.9918511,0.0
0.427,-74.0,-3.8858400000000004,81.08,57,4361,False,39545,511,9,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-54,1578160674,3.4750447273254395,33.05520415306091,31381,Francesco-PC,132.239.10.91,33.05520415306091,39545,9,0.33707640401140976,0.32582415247068736,1.0254000492558055,39040,39545,1197.187,11.593,2311.342,135.616,0.675000011920929,9.999999747378752e-05,23.348782,-0.036862686,23.378695,0.6670278,0.010294343,1.9777669,0.0
0.406,-93.0,-7.70769,76.04,56,4194,False,43739,567,10,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-57-58,1578160678,3.26833438873291,36.32353854179382,31381,Francesco-PC,132.239.10.91,36.32353854179382,43739,10,0.3368102931795768,0.32519973324709056,1.0215565201792878,43136,43739,1189.409,10.627,2293.413,122.515,0.675000011920929,9.999999747378752e-05,31.250267,-0.031430464,31.274155,0.78300744,0.01117227,1.9921346,0.0
0.37000000000000005,-93.0,-18.29635,70.64,67,4581,False,48320,634,11,96057da8960b4c65a9dd45ebdac26e88,2020-01-04_09-58-02,1578160682,3.687668800354004,40.01120734214783,31381,Francesco-PC,132.239.10.91,40.01120734214783,48320,11,0.3369983535823043,0.32474291564381697,1.0170249984249202,47616,48320,1170.894,2.847,2267.762,5.405,0.675000011920929,9.999999747378752e-05,43.949814,-0.0253426,43.967968,0.68400097,0.010650005,2.0187047,0.0
