episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
0.246,-0.2740000000000001,-0.029103448275862087,77.05172413793103,58,4469,False,4469,58,1,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-07,1578217207,5.552708148956299,5.552708148956299,4968,Francesco-PC,132.239.10.91,5.552708148956299,4469,1,0.3487194338053451,0.33339184137663735,1.1656470264598975,4352,4469,1367.52,173.534,2700.629,1247.075,0.20000000298023224,9.999999747378752e-05,-0.03790191,-0.045108803,0.0029277278,0.35630682,0.021395814,2.0986023,0.0
0.21899999999999994,-0.23100000000000004,-0.015730000000000025,77.1,59,4486,False,8955,117,2,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-10,1578217210,3.514312505722046,9.067020654678345,4968,Francesco-PC,132.239.10.91,9.067020654678345,8955,2,0.34600311723789434,0.3307049350948479,1.1159980348760599,8832,8955,1277.355,89.092,2503.358,626.082,0.30000001192092896,9.999999747378752e-05,-0.027661435,-0.036272682,0.0020031068,0.13549267,0.022027144,2.0734885,0.0
0.261,-71.0,-2.3367199999999992,73.94,59,4304,False,13259,176,3,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-13,1578217213,3.3572216033935547,12.4242422580719,4968,Francesco-PC,132.239.10.91,12.4242422580719,13259,3,0.3426386202450169,0.32759673925157373,1.0619111450738743,13056,13259,1237.279,60.804,2395.442,419.024,0.44999998807907104,9.999999747378752e-05,16.000584,-0.027100705,16.021872,0.51557136,0.012924848,2.077561,0.0
0.343,-71.0,-3.6485999999999996,75.64,57,4437,False,17696,233,4,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-17,1578217217,3.4404823780059814,15.86472463607788,4968,Francesco-PC,132.239.10.91,15.86472463607788,17696,4,0.3412477205117941,0.3263173869973421,1.0411135212719476,17408,17696,1220.113,46.78,2359.514,315.43,0.44999998807907104,9.999999747378752e-05,11.9776745,-0.024277,11.997743,0.56876856,0.009351365,2.0466778,0.0
0.447,-77.00399999999999,-12.69388,74.46,60,4338,False,22034,293,5,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-20,1578217220,3.3952109813690186,19.2599356174469,4968,Francesco-PC,132.239.10.91,19.2599356174469,22034,5,0.34020594147716104,0.3253912812608387,1.0278564195362636,21632,22034,1211.758,38.34,2326.77,253.253,0.44999998807907104,9.999999747378752e-05,86.4377,-0.030181875,86.4615,0.6544263,0.014175817,2.0556855,0.0
0.447,-95.0,-30.967419999999997,70.97,62,4401,False,26435,355,6,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-24,1578217224,3.466506004333496,22.726441621780396,4968,Francesco-PC,132.239.10.91,22.726441621780396,26435,6,0.3410338341349789,0.3258557812932063,1.022145392938498,25984,26435,1208.294,32.719,2314.929,211.766,0.44999998807907104,9.999999747378752e-05,115.4836,-0.037885502,115.514114,0.6144512,0.016360598,2.0477269,0.0
0.32499999999999996,-95.0,-24.940529999999995,80.95,47,4436,False,30871,402,7,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-27,1578217227,3.455197334289551,26.181638956069946,4968,Francesco-PC,132.239.10.91,26.181638956069946,30871,7,0.339806562726004,0.3253785592844629,1.017714071640317,30336,30871,1204.733,28.699,2305.828,182.156,0.44999998807907104,9.999999747378752e-05,42.09922,-0.038273387,42.129032,0.61051524,0.018811136,1.971373,0.0
0.3919999999999999,-78.003,-8.06633,90.4,48,4265,False,35136,450,8,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-31,1578217231,3.39795184135437,29.579590797424316,4968,Francesco-PC,132.239.10.91,29.579590797424316,35136,8,0.3387513341321026,0.32540218087358136,1.0191813918212558,34560,35136,1201.905,25.664,2292.016,159.966,0.44999998807907104,9.999999747378752e-05,0.85640585,-0.0415909,0.89158404,0.2126196,0.014250274,1.9653496,0.0
0.49,-29.978000000000012,-0.9191000000000006,84.7,55,4515,False,39651,505,9,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-34,1578217234,3.5874502658843994,33.167041063308716,4968,Francesco-PC,132.239.10.91,33.167041063308716,39651,9,0.3378196958672517,0.32538800537863144,1.0188901285591299,39040,39651,1204.266,23.379,2297.392,142.713,0.44999998807907104,9.999999747378752e-05,0.58495,-0.037885133,0.6177378,0.4630938,0.011327355,1.943134,0.0
0.37800000000000006,-64.0,-8.341650000000001,77.1,59,4304,False,43955,564,10,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-38,1578217238,3.8170151710510254,36.98405623435974,4968,Francesco-PC,132.239.10.91,36.98405623435974,43955,10,0.34009773903959384,0.3272319338481852,1.0274443841024052,43264,43955,1219.632,21.713,2311.082,128.974,0.44999998807907104,9.999999747378752e-05,33.91508,-0.044461384,33.949886,0.6630851,0.021448737,1.9585652,0.0
0.37800000000000006,-64.0,-11.41827,70.11,65,4468,False,48423,629,11,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-43,1578217243,4.158882141113281,41.14293837547302,4968,Francesco-PC,132.239.10.91,41.14293837547302,48423,11,0.3447518835974043,0.33091908393826996,1.0496298283218954,47616,48423,1226.351,4.829,2311.174,4.871,0.675000011920929,9.999999747378752e-05,15.375484,-0.029473392,15.398873,0.7226444,0.009014927,1.9646492,0.0
0.40399999999999997,-50.0,-8.787529999999999,82.16,56,5157,False,53580,685,12,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-48,1578217248,4.272587060928345,45.41552543640137,4968,Francesco-PC,132.239.10.91,45.41552543640137,53580,12,0.34533620945561594,0.3315621895019799,1.0546877559330496,52736,53580,1270.167,4.898,2343.128,4.815,0.675000011920929,9.999999747378752e-05,43.726315,-0.018928964,43.739006,0.37398648,0.009247636,1.9234263,0.0
0.40399999999999997,-46.85199999999999,-6.014100000000002,100.71,46,5042,False,58622,731,13,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-52,1578217252,4.010830640792847,49.426356077194214,4968,Francesco-PC,132.239.10.91,49.426356077194214,58622,13,0.3435544882619685,0.33087373552261795,1.0504820635197463,57728,58622,1296.754,4.99,2381.873,4.772,0.675000011920929,9.999999747378752e-05,5.5951395,-0.03396235,5.6210384,0.71127343,0.011945433,1.9663393,0.0
0.32400000000000007,-46.85199999999999,-4.11102,98.65,50,4563,False,63185,781,14,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-55,1578217255,3.5582375526428223,52.984593629837036,4968,Francesco-PC,132.239.10.91,52.984593629837036,63185,14,0.3423216217930573,0.32975898231433676,1.0448821682309595,62208,63185,1301.645,4.978,2388.656,4.758,0.675000011920929,9.999999747378752e-05,3.271234,-0.03127739,3.2954986,0.82798076,0.010389286,1.9390551,0.0
0.32400000000000007,-55.0,-8.834249999999999,80.06,57,4216,False,67401,838,15,5b67c187780d45c98cd4c1032ce7e201,2020-01-05_01-40-58,1578217258,3.349782943725586,56.33437657356262,4968,Francesco-PC,132.239.10.91,56.33437657356262,67401,15,0.34138465740169366,0.32903651276965173,1.0397624887129884,66304,67401,1298.666,4.944,2387.271,4.807,0.675000011920929,9.999999747378752e-05,20.307188,-0.040040016,20.339437,0.7532754,0.011542711,1.9490945,0.0
